'bout|bao 
adherence|ớt hi rừn
adherent|ớt hi rừn
adherents|át hi rừn
adheres|ớt hi
adhering|ớt hi ring
adhesion|át hi dừn
adhesive|át hi xíp
adhesive|át hi xíp
adhesives|át hi xíp
adhesives|át hi xíp
adia|a đi ơ
adid|ơ đít
adidas|ơ đi đớt
adidas's|ơ đi đơ xi
adieu|ơ đu
adin|ơ đin
adina|a đi nơ
adine|a đi ni
adinolfi|a đi nôn phi
adios|a đi âu
adipose|a đơ pâu
adirondack|a đơ ran đác
adisq|ơ đít
adisq|ơ đít
adjacent|ơ dây xừn
adjani|át da ni
adjective|a díc típ
adjectives|a díc típ
adjoin|ơ doi 
adjoining|ơ doi  ning
adjoins|ơ doi 
adjourn|ơ dừn
adjourned|ơ dừn
adjourning|ơ dơ ning
adjournment|ơ dừn mừn
adjourns|ơ dừn
adjudge|ơ dơ
adjudged|ơ dơ
adjudicate|ơ du đi kết
adjudicated|ơ du đơ kết tít
adjudicating|ơ du đi kết ting
adjudication|ơ du đơ cây sừn
adjunct|a dừng
adjuncts|a dừng c
adjust|ơ dớt
adjustable|ơ dớt tơ bồ
adjustables|ơ dớt tơ bồ
adjusted|ơ dớt tít
adjuster|ơ dớt tơ
adjusters|ơ dớt tơ
adjusting|ơ dớt ting
adjustment|ơ dớt tờ mừn
adjustments|ơ dớt tờ mừn
adjusts|ơ dớt
adjutant|a dơ từn
adkins|át kin
adkinson|át kin xừn
adkison|át ki xừn
adkisson|át ki xừn
adl-tabataba|a đồ ta bơ ta bơ
adl-tabatabai|a đồ ta bơ tơ bai  
adlai|át lai  
adler|át lơ
adler's|át lơ
adlers|át lơ
adley|át li
adlon|át lan
adlong|át long
adman|át mừn
admen|át mừn
admin|át min
administer|ớt mi nớt tơ
administered|ớt mi nớt tớt
administering|át mi nít tơ ring
administers|át mi nít tơ
administrate|át mi nít trết
administrating|ớt mi nớt trết ting
administration|át mi nít trây sừn
administration's|át mi nít trây sừn
administrations|át mi nít trây sừn
administrations'|át mi nít trây sừn
administrative|ớt mi nớt trết típ
administratively|át mi nớt trết ti pồ li
administrator|ớt mi nớt trết tơ
administrator's|át mi nít trết tơ
administrators|át mi nít trết tơ
administrators'|át mi nớt trết tơ
admins|ớt min
admins|ớt min
admira|át mai  rơ
admira's|át mai  rơ
admirable|át mơ rơ bồ
admirable|át mơ rơ bồ
admirably|át mơ rơ pồ li
admiral|át mơ rồ
admiral's|át mơ rồ
admirals|át mơ rồ
admiralty|át mơ rồ ti
admiration|át mơ rây sừn
admirations|át mơ rây sừn
admire|át mai 
admired|ớt mai  ớt
admirer|át mai  rơ
admirers|ớt mai  rơ
admires|át mai 
admiring|át mai  ring
admiringly|át mai  ring li
admissibility|ớt mi xơ bi lơ ti
admissible|ớt mi xơ bồ
admission|át mi sừn
admission|át mi sừn
admissions|át mi sừn
admissions|át mi sừn
admit|ớt mít
admits|ớt mít
admittance|ớt mi từn
admitted|ớt mi tít
admittedly|át mi tít li
admitting|át mi ting
admitting|át mi ting
admonish|át ma nít
admonished|ớt ma nít
admonishes|át ma ni si
admonishing|át ma ni sing
admonishment|át ma nít men
admonition|át mơ ni sừn
admonitions|át mơ ni sừn
admonitory|át mo ni to ri
adnan|át nừn
adney|át ni
ado|ơ đu
adobe|ơ đâu bi
adobe's|ơ đâu bi
adolescence|a đơ le xừn
adolescence|a đơ le xừn
adolescent|a đơ le xừn
adolescent|a đơ le xừn
adolescents|a đơ le xừn
adolescents|a đơ le xừn
adolf|ây đan
adolf's|ây đan
adolfo|ơ đan phâu 
adolph|ây đon
adolpha|a đôn phơ
adolphson|a đôn phờ xừn
adolphus|ơ đon phớt
adon|a đon
adonia|a đâu ni ơ
adonis|ơ đa nớt
adopt|ơ đáp
adoptable|ơ đáp tơ bồ
adopted|ơ đáp tít
adoptee|ơ đáp ti
adoptees|ơ đáp ti
adopter|ơ đáp tơ
adopters|ơ đáp tơ
adopting|ơ đáp ting
adoption|ơ đáp sừn
adoptions|ơ đáp sừn
adoptive|ơ đáp típ
adopts|ơ đáp
ador|a đo
adora|a đo rơ
adorabelle|a đơ rơ bồ
adorable|ơ đo rơ bồ
adoration|a đơ rây sừn
adore|ơ đo
adored|ơ đo
adoree|a đơ ri
adorees|a đơ ri
adores|ơ đo
adoring|ơ đo ring
adorn|ơ đo
adorna|a đo nơ
adorned|ơ đo
adorning|ơ đo ning
adornment|ơ đo nờ mừn
adorno|a đo nâu 
adorns|ơ đo
adra|ây đờ rơ
adragna|át rác nơ
adrda|ây đơ đơ
adrea|át ri ơ
adrenal|ớt ri nồ
adrenalin|ớt re nơ lin
adrenaline|ớt re nơ lừn
adrenergic|ớt re ne díc
adria|át ri ơ
adrian|ây đờ ri ơn
adriana|ây đờ ria  nơ
adriance|át ri ơn
adriano|át ria  nâu 
adriatic|ây đờ ria  tíc
adriel|ớt riu
adrienne|át ri en
adrift|ớt ríp
adroit|ớt roi 
adroitly|ớt roi  tờ li
ads|át
ads'|át
adsit|át xít
adsl|ây đi e xeo
adsorption|ớt xo pờ sừn
adss|át
adss|át
adstar|át xờ ta
adsteam|át xờ tim
adtec|át téc
adulate|a dơ lết
adulation|a dơ lây sừn
aduliadae|ơ đu lia  đây 
adult|ơ đồ
adult|ơ đồ
adulterate|ơ đồ tơ rết
adulterated|ơ đồ tơ rết tít
adulterates|ơ đồ tơ rết
adulteration|ơ đồ tơ rây sừn
adulterer|ơ đồ tơ rơ
adulterers|ơ đồ tơ rơ
adulterous|ơ đồ tơ rớt
adultery|ơ đồ tơ ri
adulthood|ơ đồ thút
adults|ơ đồ
adults|ơ đồ
adults'|ơ đồ
adults'|ơ đồ
adusdur|a đớt đơ
advacare|át vơ ce
advalue|át vơ lu
advance|ớt van
advance's|ớt van xơ
advance's|ớt van xơ
advanced|ớt van
advancement|ớt van xờ mừn
advancements|ớt van xờ mừn
advancer|ớt van xơ
advancers|ớt van xơ
advances|ớt van xơ
advances|ớt van xơ
advancing|ớt van xing
advani|át va ni
advanta|át van tơ
advanta|át van tơ
advanta's|át van tơ
advanta's|át van tơ
advantage|át van ti
advantaged|át van ti
advantageous|át vừn tây dớt
advantages|át van ti di
advantest|át van tớt
advection|át véc sừn
advent|át ven
adventist|át ven tít
adventists|át ven tít
adventure|át ven chơ
adventure|át ven chơ
adventurer|át ven chơ rơ
adventurer|át ven chơ rơ
adventurers|át ven chơ rơ
adventurers|át ven chơ rơ
adventures|át ven chơ
adventuresome|át ven chơ xơm
adventurism|át ven chơ ri dơm
adventurous|át ven chơ rớt
adventurous|át ven chơ rớt
adverb|át vớp
adverbial|át vơ bi ồ
adverbs|át vớp
adversarial|át vơ xe ri ồ
adversaries|át vơ xe ri
adversary|át vơ xe ri
adverse|át vớt
adverse|át vớt
adverse|át vớt
adversely|át vớt li
adversity|át vơ xi ti
adversity|át vơ xi ti
advert|át vớt
advertise|át vơ tai 
advertised|át vơ tai 
advertised|át vơ tai 
advertisement|át vơ tơ mừn
advertisement|át vơ tơ mừn
advertisements|át vơ tai  dờ mừn
advertiser|át vơ tai  dơ
advertiser's|át vơ tai  dơ
advertisers|át vơ tai  dơ
advertisers'|át vơ tai  dơ
advertises|át vơ tai  di
advertising|át vơ tai  ding
advertising's|át vơ tai  ding
advertorial|át vơ to ri ồ
advertorials|át vơ to ri ồ
advest|át vét
advice|át vai 
advice|át vai 
advil|át viu
advil's|át viu
advisability|át vai  dơ bi li ti
advisable|ớt vai  dơ bồ
advise|át vai 
advise|át vai 
advised|át vai 
advised|át vai 
advisedly|át vai  dớt li
advisedly|át vai  dớt li
advisement|ớt vai  dờ mừn
adviser|át vai  dơ
adviser's|ớt vai  dơ
advisers|át vai  dơ
advisers'|át vai  dơ
advises|át vai  di
advising|át vai  ding
advisor|át vai  dơ
advisories|ớt vai  dơ ri
advisors|át vai  dơ
advisory|át vai  dơ ri
advo|át vâu 
advocacy|át vơ cơ xi
advocate|át vơ cớt
advocate|át vơ cớt
advocate's|át vơ cớt
advocated|át vơ kết tít
advocates|át vơ cớt
advocates|át vơ cớt
advocating|át vơ kết ting
advocation|át vơ cây sừn
adweek|át guýc
adwell|ớt gueo
adwords|át guơ
ady|ây đi
adz|át
ae|ây 
aegean|i di ơn
aegerter|e gơ tơ
aegis|i dớt
aegon|ây gan
aeltus|an tớt
aeneas|a ni ớt
aeneid|ăn i ít
aeolus|e âu lút
aequitron|ây quýtran
aer|e
aer|e
aerial|e ri ồ
aerials|e ri ồ
aerie|e ri
aerien|e ri ơn
aeriens|e ri ơn
aeritalia|e ri tan dơ
aero|e râu 
aerobatic|e rơ ba tíc
aerobatics|e rơ ba tíc
aerobic|e râu bíc
aerobically|e râu bíc cồ li
aerobics|ơ râu bíc
aerodrome|e rớt râu
aerodromes|e rớt râu
aerodynamic|e râu đai  na míc
aerodynamically|e râu đai  na míc cồ li
aerodynamicist|e râu đai  na mi xít
aerodynamicists|e râu đai  na mi xít
aerodynamics|e râu đai  na míc
aerodyne|e rơ đai 
aerodyne's|e rơ đai 
aeroflot|e râu phờ lát
aeroflot's|e râu phờ lát
aerogenosa|e rơ dơ nâu xơ
aerojet|e râu dét
aerojets|e râu dét
aerolift|e râu líp
aerolifts|e râu líp
aerolineas|e râu li ni ớt
aeromar|e rơ ma
aeromar|e rơ ma
aeromexico|e râu méc xi câu 
aeromexico's|e râu méc xi câu
aeronautic|e râu na tớc
aeronautical|e râu na tơ cồ
aeronautical|e râu na tơ cồ
aeronauticas|e râu no ti cớt
aeronautics|e rơ no tíc
aeroperu|e râu pây ru
aeroperu's|e râu pây ru
aeroquip|e rớc guýp
aeroscience|e râu xai  ớt
aerosmith|e râu xờ mít
aerosmith's|e râu xờ mít
aerosol|e rơ xan
aerosols|e rơ xan
aerospace|e râu xờ pây
aerospace's|e râu xờ pây xi
aerospatiale|e râu xờ pa xia
aerospatiale's|e râu xờ pa xia
aerostar|e râu xờ ta
aerostar's|e râu xờ ta
aerostars|e râu xờ ta
aerostat|e râu xờ tát
aerostat's|e râu xờ tát
aerostats|e râu xờ tát
aerotech|e râu téc
aerovias|e râu vi ơ
aerts|étx
aeschelus|ét cơ lớt
aeschliman|ét li mừn
aesop|i xáp
aesop's|i xáp
aesthenopia|át thơ nóp dơ
aesthete|ét thít
aesthete's|ét thít
aesthetes|ét thít
aesthetic|ét the tíc
aesthetically|ét the tíc cồ li
aesthetics|ét the tíc
aetna|ét nơ
aetna's|ét nơ
afanasyev|a phơ nây xi ép
afar|ơ pha
affable|a phơ bồ
affably|a phơ pồ li
affair|ơ phe
affair's|ơ phe
affairs|ơ phe
affect|ơ phéc
affectation|a phéc tây sừn
affected|ơ phéc tít
affecting|ơ phéc ting
affection|ơ phéc sừn
affectionate|ơ phéc sơ nớt
affectionate|ơ phéc sơ nớt
affectionately|ơ phéc sơ nớt li
affections|ơ phéc sừn
affective|ơ phéc típ
affectively|ơ phéc ti pồ li
affects|ơ phéc
affeldt|a phiu
afferent|a phơ rừn
affiant|a phi ơn
affidavit|a phơ đây vớt
affidavits|a phi đây vít
affiliate|ơ phi li ết
affiliate|ơ phi li ết
affiliate's|ơ phi li ết
affiliated|ơ phi li ết tít
affiliated's|ơ phi li ết tít
affiliates|ơ phi li ớt
affiliates|ơ phi li ớt
affiliates'|ơ phi li ít
affiliating|ơ phi li ết ting
affiliation|ơ phi li ây sừn
affiliations|ơ phi li ây sừn
affine|ơ phai 
affined|ơ phai 
affines|ơ phai 
affining|ơ phai  ning
affinities|ơ phi nơ ti
affinity|ơ phi nơ ti
affinity|ơ phi nơ ti
affirm|ơ phơm
affirmation|a phơ mây sừn
affirmations|a phơ mây sừn
affirmative|ơ phơ mơ típ
affirmatively|ơ phơ mơ ti pồ li
affirmed|ơ phơm
affirming|ơ phơ ming
affirms|ơ phơm
affix|a phíc
affix|a phíc
affixed|ơ phíc
affixes|a phíc xi
affixes|a phíc xi
affixing|ơ phíc xing
affleck|a pồ líc
afflerbach|a pồ lơ bác
afflict|ơ pồ líc
afflicted|ơ pồ líc tít
afflicting|ơ pồ líc ting
affliction|ơ pồ líc sừn
afflictions|ơ pồ líc sừn
afflicts|ơ pồ líc
afflik|a pồ líc
affluence|a pồ luơ
affluent|a pồ luơ
affolter|a phôn tơ
afford|ơ pho
affordability|ơ pho đơ bi lơ ti
affordable|ơ pho đơ bồ
affordably|ơ pho đơ pồ li
afforded|ơ pho đớt
affording|ơ pho đing
affords|ơ pho
affricate|áp rô cớt
affricates|áp rô cớt
affrication|áp rô cây sừn
affront|ớp rừn
affronted|ớp rừn tít
affronting|ớp rừn ting
affronts|ớp rừn
affymax|a phi mác
afghan|áp gan
afghani|áp ga ni
afghani's|áp ga ni
afghanis|áp ga ni
afghanistan|áp ga nớt tan
afghanistan's|áp ga nớt tan
afghanistans|áp ga nớt tan
afghans|áp gan
afheldt|a pheo
aficionado|ơ phít dơ na đâu 
aficionados|ơ phi sơ na đâu
afield|ơ phiu
afire|ơ phai 
afl|ây e pheo
aflame|ơ pồ lêm
aflatoxin|a pồ lơ tác xin
afloat|ơ pồ lâu
aflutter|ơ pồ lơ tơ
afmed|áp mét
afonso|ơ phan xâu 
afoot|ơ phút
aforementioned|ơ pho men sừn
aforesaid|ơ pho xét
aforethought|ơ pho thát
afoul|ơ phao 
afraid|ớp rây
afresh|ớp rét
africa|áp rô ca
africa|áp rô ca
africa|áp rô ca
africa's|áp rô cơ
africa's|áp rô cơ
african|áp rô cừn
african|áp rô cừn
african-american|áp rô cơ nơ me rơ cừn
african-americans|áp ri cơ nơ me ri cừn
africanist|áp ri cơ nít
africanist's|áp ri ca nít
africanists|áp ri ca nít
africanize|áp rô cơ nai 
africanized|áp rô cơ nai 
africans|áp rô cừn
africans|áp rô cừn
afridi|ớp ri đi
afrikaans|áp rô can
afrikaner|áp rô ca nơ
afrikanerdom|áp rô ca nơ đơm
afrikaners|áp ri ca nơ
afro|áp râu 
afroamerican|áp râu ơ  me rơ cừn
afroamericans|áp râu ơ  me rơ cừn
afrocentric|áp râu xen tríc
afsane|áp xa nây 
afsane's|áp xa nây
afshar|áp sơ
afshar's|áp sơ
aft|áp
after|áp tơ
after-room|áp tơ rum
afterall|áp tơ ran
afterburner|áp tơ bơ nơ
afterburners|áp tơ bơ nơ
aftereffect|áp tơ rơ phéc
aftereffects|áp tơ rơ phéc
afterglow|áp tớc cồ lâu 
afterglows|áp tớc cồ lâu
afterhours|áp tơ hao  ơ
afterimage|áp tơ ri mi
afterimages|áp tơ ri mi dơ
afterlife|áp tơ lai 
afterlives|áp tơ lai 
aftermarket|áp tơ ma kít
aftermarkets|áp tơ ma kít
aftermath|áp tơ mát
aftermaths|áp tơ mát
afternoon|áp tơ nun
afternoon's|áp tơ nun
afternoons|áp tơ nun
aftershave|áp tơ sây
aftershaves|áp tơ sây
aftershock|áp tơ sác
aftershocks|áp tơ sác
aftertaste|áp tơ tây
aftertastes|áp tơ tây x
aftertax|áp tơ tác
afterthought|áp tơ thát
afterthought|áp tơ thát
afterthoughts|áp tơ thát
afterthoughts|áp tơ thát
afterward|áp tơ guơ
afterwards|áp tơ guơ
afula|ơ phu lơ
afula's|ơ phu lơ
ag|ác
ag|ác
ag's|ác
aga|a gơ
agache|a gách
agache's|a ga chơ
agaches|a ga chơ
again|ơ gen
again|ơ gen
against|ơ gen
against|ơ gen
agamemnon|a gơ mem nan
agamemnon's|a gơ mem nan
agan|ây gừn
agana|ơ ga nơ
aganbegyan|a gừn béc dừn
agans|a gan
agape|ơ gây
agar|ây gơ
agard|a gớt
agarwal|a ga guan
agasp|ơ gát
agassi|a gơ xi
agassiz|ơ ga xi
agate|a gớt
agates|a gớt
agatha|a gơ thơ
agawam|a gơ guam
agco|ác câu 
age|ây
age's|ây di
aged|ây
aged|ây
agee|ây di
agee's|ây di
ageless|ây dờ lớt
agematsu|a gơ mát xu
agence|a dừn
agencies|ây dừn xi
agencies'|ây dừn xi
agency|ây dừn xi
agency's|ây dừn xi
agenda|ơ den đơ
agendas|ơ den đơ
agent|ây dừn
agent's|ây dừn
agents|ây dừn
agents'|ây dừn
ager|ây dơ
ageratum|ơ de rơ tơm
ageratums|ơ de rơ tơm
agers|ây dơ
agers'|ây dơ
agerton|ây gơ từn
ages|ây dơ
ages|ây dơ
agfa|ác phơ
aggarwal|ơ ga guơ
aggie|a gi
aggies|a gi
agglomerate|ớc cồ la mơ rết
agglomeration|ớc cồ la mơ rây sừn
agglutinate|ớc cồ lu ti nết
aggrandize|ớc ran đai 
aggrandizement|ác rừn đai  dờ mừn
aggrandizement|ác rừn đai  dờ mừn
aggrandizing|ác rừn đai  ding
aggrandizing|ác rừn đai  ding
aggravate|ác rơ vết
aggravated|ác rơ vết tít
aggravates|ác rơ vết
aggravating|ác rơ vết ting
aggravation|ác rơ vây sừn
aggregate|ác rơ gớt
aggregate|ác rơ gớt
aggregate|ác rơ gớt
aggregated|ác rơ gết tít
aggregates|ác rơ gít
aggregates|ác rơ gít
aggregation|ác rơ gây sừn
aggress|ớc rét
aggression|ớc re sừn
aggressions|ớc re sừn
aggressive|ớc re xíp
aggressively|ớc re xi pồ li
aggressiveness|ớc re xíp nớt
aggressivity|ớc re xi vi ti
aggressor|ớc re xơ
aggressors|ớc re xơ
aggrey|ác rây 
aggrieve|ớc ríp
aggrieved|ớc ríp
aggy|a gi
aghast|ơ gát
aghazadeh|a gơ da đe
agie|a gi
agildo|ơ giu đâu 
agile|a dồ
agilis|ơ di lớt
agility|ơ di lơ ti
agin|a din
agincourt|a dừn cót
aging|ây ding
agins|ây gin
agip|ây gíp
agitate|a dơ tết
agitated|a dơ tết tít
agitating|a dơ tết ting
agitation|a dơ tây sừn
agitator|a dơ tết tơ
agitators|a di tết tơ
agitprop|a dớt pờ róp
agius|ây di ít
agleam|ớc cồ lim
agler|ác cồ lơ
aglitter|ớc cồ li tơ
aglo|ớc cồ lâu 
aglow|ớc cồ lâu 
agna|ác na
agne|ác ni
agnella|ác ne la
agnelli|ác ne li
agnelli's|ác ne li
agnellis|ác ne li
agnello|ác ne lâu 
agner|ác nơ
agnes|ác nít
agneta|ác ne tơ
agnew|ác nu
agnew|ác nu
agnico|ác ni câu 
agnor|ác nơ
agnos|ác nâu
agnosio|ác nâu xi âu 
agnostic|ác nát tíc
agnostically|ác nát tíc cồ li
agnostics|ác nát tíc
ago|ơ gâu 
agog|ơ gác
agoglia|ơ gác cồ li ơ
agonies|a gơ ni
agonist|a gơ nít
agonists|a gơ nít
agonize|a gơ nai 
agonized|a gơ nai 
agonizes|a gơ nai  di
agonizing|a gơ nai  ding
agonizingly|a gơ nai  ding li
agony|a gơ ni
agora|a gơ rơ
agoraphobia|ơ go rơ phâu bi ơ
agosta|a gâu xờ tơ
agostinelli|a gâu xờ ti ne li
agostini|a gâu xờ ti ni
agostino|a gót ti nâu 
agosto|a gâu xờ tâu 
agoura|ơ guờ rơ
agouron|ơ guờ ran
agra|ác rơ
agrarian|ớc re ri ơn
agrarianism|ớc re riu ni dơm
agrawal|ớc ra guơ
agree|ớc ri
agreeable|ớc riu bồ
agreed|ớc rít
agreeing|ớc ri ing
agreement|ớc ri mừn
agreement's|ớc ri mừn
agreements|ớc ri mừn
agrees|ớc ri
agregable|ớc re dơ bồ
agregious|ớc ri di ớt
agresource|ác re xo
agresource|ác re xo
agresta|ác rét tơ
agresti|ác rét ti
agrexco|ác réc xờ câu 
agri|ác ri
agribank|ác ri bang
agribusiness|ác rơ bi nớt
agrico|ớc ri câu 
agricola|ác ri câu lơ
agricole|ác ri câu
agricultural|ác rơ cồ chơ rồ
agricultural|ác rơ cồ chơ rồ
agriculturalist|ác rơ cồ chơ rơ lớt
agriculturally|ác ri cồ chơ rơ li
agriculturally|ác ri cồ chơ rơ li
agriculture|ác ri cồ chơ
agriculture's|ác ri cồ chơ
agrifuel|ác rớp dun
agrifuels|ác rớp dun
agrigenetics|ác rơ dơ ne tíc
agrippa|ớc ri pơ
agrivisor|ác rơ vai  dơ
agro|ác râu 
agrochemical|ác râu ce mơ cồ
agrochemicals|ác râu ce mi cồ
agroindustrial|ác râu i đớt tri ồ
agrokomerc|ác rơ câu mớc
agronomist|ớc ra nơ mít
agronomists|ớc ra nơ mít
agronomy|ớc ra nơ mi
agrosiand|ớc râu xi ơn
aground|ớc rao
agrusa|ác ru xơ
agua|ác guơ 
aguacate|ác guơ  kết
aguadilla|ác guơ  đi lơ
aguado|ác gua đâu 
aguanga|ớc gua ngơ
aguascalientes|ác guơ xờ can den tét
aguayo|ác guây âu 
agudelo|a guờ đây lâu 
ague|ây gờ du
aguero|a ge râu 
aguiar|ác guy ơ
aguila|ác guy lơ
aguilar|a gơ la
aguilera|ác guy le rơ
aguillar|a gơ la
aguillard|a gi lớt
aguillon|ác guy lon
aguilo|ớc guy lâu 
aguinaga|a guy na gơ
aguirra|ớc guy rơ
aguirra's|ớc guy rơ
aguirre|ác guy rây 
aguirre|ác guy rây 
aguirre's|ác guy rây
aguirre's|ác guy rây
agustin|ơ gót tin
ah|a
aha|a ha
ahab|ây háp
ahah|a ha
aharon|a hơ ran
ahart|ơ hát
ahasuerus|ơ ha sơ gue rớt
ahaulsie|ơ han xi
ahead|ơ hét
ahearn|ơ hừn
aherin|a ơ rin
ahern|ơ hừn
aherne|ơ hừn
ahh|a
ahl|an
ahlberg|an bớc
ahlborn|an bừn
ahlen|ơ lên
ahlen|ơ lên
ahlers|a lơ
ahles|ây ồ
ahlf|an
ahlgren|an gờ ren
ahlgrim|an gờ rim
ahlin|a lin
ahlman|an mừn
ahlquist|an quýt
ahlquist's|an quýt
ahlquists|an quýt
ahlstrand|an xờ trừn
ahlstrom|an xờ trơm
ahluwalia|ơ lu an dơ
ahmad|a mát
ahmadi|a ma đi
ahmann|a mừn
ahmanson|a mừn xừn
ahmanson's|a mừn xừn
ahmansons|a mừn xừn
ahmed|a mớt
ahmed|a mớt
ahmeek|ơ míc
ahmoudi|a mu đi
ahn|an
ahnell|a neo
ahner|a nơ
aho|a hâu 
ahola|a hơ lơ
ahold|ơ hôn
ahold's|ơ hôn
aholds|ơ hôn
ahonen|ơ hâu nừn
ahoskie|ơ hót ki
ahoy|ơ hoi  
ahr|a
ahranat|ơ ra nớt
ahren|a rừn
ahrendt|a rin
ahrens|a rin
ahs|a
ahsahka|a xa cơ
ahuja|a hu dơ
ahumada|a du ma đơ
ahwahnee|ơ gua ni
ai|ai  
ai|ai  
aichele|ai  cồ
aicher|ai  cơ
aichi|ai  chi
aickin|ây kin
aid|ây
aid's|ây
aida|ai  i đơ
aidan|ây đan
aide|ây
aide's|ây
aided|ây đớt
aided|ây đớt
aiden|ây đen
aidenn|ây đen
aides|ây
aides'|ây
aidid|ai  đít
aidid's|ai  đít
aiding|ây đing
aids|ây
aiello|ai  e lâu 
aiesha|ai  sơ
aigner|ên nơ
aigner|ên nơ
aigner|ên nơ
aiguebelle|ai  gơ beo
aiken|ây kin
aikens|ây kin
aikey|ây ki
aikin|ây kin
aikins|ai  kin
aikman|ây cờ mừn
aikoff|ai  cóp
ail|ây
ailee|ây li
aileen|ai  lin
ailene|ai  lin
aileron|ây lơ ran
ailerons|ây lơ ran
ailes|ai 
ailes|ai 
ailey|ây li
ailing|ây ling
ailment|ây lờ mừn
ailments|ây lờ mừn
ailor|ây lơ
ails|ây
ailsa|ây lờ xơ
ailurophile|ây lu rơ phai 
ailurophile|ây lu rơ phai 
aim|êm
aim's|êm
aimal|ai  mồ
aiman|ai  mừn
aime|êm
aimed|êm
aimee|êm mi
aimetti|êm me ti
aiming|êm ming
aimless|êm lớt
aimlessly|êm lớt li
aimone|êm mâu
aims|êm
ain't|ên
aine|ên
ainge|ên
ainge|ên
ainley|ên li
ainsberg|ên dờ bớc
